,Unnamed: 0.1,Unnamed: 0,PMID,abstract,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
0,0,0,31693457,"For persons living with chronic conditions, health-related quality of life (HRQoL) symptoms, such as pain, anxiety, depression, and insomnia, often interact and mutually reinforce one another. There is evidence that medical cannabis (MC) may be efficacious in ameliorating such symptoms and improving HRQoL. As many of these HRQoL symptoms may mutually reinforce one another, we conducted an exploratory study to investigate how MC users perceive the efficacy of MC in addressing co-occurring HRQoL symptoms. We conducted a cross-sectional online survey of persons with a state medical marijuana card in Illinois ( ",Perceived Efficacy of Medical Cannabis in the Treatment of Co-Occurring Health-Related Quality of Life Symptoms,"Bruce D, Foster E, Shattell M.",Behav Med. 2021 Apr-Jun;47(2):170-174. doi: 10.1080/08964289.2019.1683712. Epub 2019 Nov 6.,Bruce D,Behav Med,2021,2019/11/07,,,10.1080/08964289.2019.1683712
1,1,1,39294485,"The rapidly changing policy climate related to cannabis legalization has led to drastic changes in cannabis use in the United States (US). Medical cannabis use is increasing overall, but at a faster rate among older adults compared to other age groups. The aim was to investigate older adults' cannabis use behaviors and attitudes around disclosing medical cannabis use to their primary healthcare providers (HCPs). Nineteen older adults (ages 65+ years) with self-reported medical cannabis use were recruited from flyers posted in ambulatory clinics in San Diego, CA. Surveys and semi-structured interviews on cannabis use were completed. A multi-methods approach was used to analyze data. Participants' mean age was 75.3 years; 52.6% identified as women, and 89.5% as White. Cannabis was used by all participants to treat pain and by 75% for insomnia, with 25-33% reductions in use of prescription medications to treat these symptoms. Approximately 89% reported their primary HCPs were aware of their cannabis use, and 84.2% felt very comfortable/comfortable talking to HCPs about cannabis. Common themes from interviews included participants (1) being motivated to disclose cannabis use to their HCPs to seek medical advice on dosing, side effects, and benefits of cannabis, (2) feeling comfortable disclosing cannabis use as legalization has eased the stigma around cannabis use, and (3) perceiving mostly neutral attitudes from HCPs on their cannabis use. The study emphasizes the pivotal role of HCPs as educators in addressing patient inquiries about cannabis, underlining the need for equipping healthcare professionals with evidence-based knowledge through education and training initiatives. ",Older Adults' Use of Cannabis and Attitudes Around Disclosing Medical Cannabis Use to Their Healthcare Providers in California: A Mixed Methods Study,"Abu Baker D, Cruz Rivera PN, Narasimhan R, Nguyen N, Tibiriçá L, Kepner WE, O'Malley P, Nguyen AL, Moore AA.",Drugs Real World Outcomes. 2024 Sep 19. doi: 10.1007/s40801-024-00451-0. Online ahead of print.,Abu Baker D,Drugs Real World Outcomes,2024,2024/09/18,,,10.1007/s40801-024-00451-0
2,2,2,16202145,"The New South Wales State Government recently proposed a trial of the medical use of cannabis. Australians who currently use cannabis medicinally do so illegally and without assurances of quality control. Given the dearth of local information on this issue, this study explored the experiences of medical cannabis users. Australian adults who had used cannabis for medical purposes were recruited using media stories. A total of 147 respondents were screened by phone and anonymous questionnaires were mailed, to be returned by postage paid envelope. Data were available for 128 participants. Long term and regular medical cannabis use was frequently reported for multiple medical conditions including chronic pain (57%), depression (56%), arthritis (35%), persistent nausea (27%) and weight loss (26%). Cannabis was perceived to provide ""great relief"" overall (86%), and substantial relief of specific symptoms such as pain, nausea and insomnia. It was also typically perceived as superior to other medications in terms of undesirable effects, and the extent of relief provided. However, nearly one half (41%) experienced conditions or symptoms that were not helped by its use. The most prevalent concerns related to its illegality. Participants reported strong support for their use from clinicians and family. There was almost universal interest (89%) in participating in a clinical trial of medical cannabis, and strong support (79%) for investigating alternative delivery methods. Australian medical cannabis users are risking legal ramifications, but consistent with users elsewhere, claim moderate to substantial benefits from its use in the management of their medical condition. In addition to strong public support, medical cannabis users show strong interest in clinical cannabis research, including the investigation of alternative delivery methods. ",Survey of Australians using cannabis for medical purposes,"Swift W, Gates P, Dillon P.",Harm Reduct J. 2005 Oct 4;2:18. doi: 10.1186/1477-7517-2-18.,Swift W,Harm Reduct J,2005,2005/10/06,PMC1262744,,10.1186/1477-7517-2-18
3,3,3,12618922,"Cannabis occurs naturally in the dried flowering or fruiting tops of the Cannabis sativa plant. Cannabis is most often consumed by smoking marihuana. Cannabinoids are the active compounds extracted from cannabis. Recently, there has been renewed interest in cannabinoids for medicinal purposes. The two proven indications for the use of the synthetic cannabinoid (dronabinol) are chemotherapy-induced nausea and vomiting and AIDS-related anorexia. Other possible effects that may prove beneficial in the oncology population include analgesia, antitumor effect, mood elevation, muscle relaxation, and relief of insomnia. Two types of cannabinoid receptors, CB1 and CB2, have been detected. CB1 receptors are expressed mainly in the central and peripheral nervous system. CB2 receptors are found in certain nonneuronal tissues, particularly in the immune cells. Recent discovery of both the cannabinoid receptors and endocannabinoids has opened a new era in research on the pharmaceutical applications of cannabinoids. The use of cannabinoids should be continued in the areas indicated, and further studies are needed to evaluate other potential uses in clinical oncology. ",Established and potential therapeutic applications of cannabinoids in oncology,"Walsh D, Nelson KA, Mahmoud FA.",Support Care Cancer. 2003 Mar;11(3):137-43. doi: 10.1007/s00520-002-0387-7. Epub 2002 Aug 21.,Walsh D,Support Care Cancer,2003,2003/03/06,,,10.1007/s00520-002-0387-7
4,4,4,35970642,"Over the past century a dramatic decline in sleep duration among adolescents, such as more than one hour of sleep loss per night, has been reported. A debt in sleep duration could lead to sleep deprivation, a major risk factor associated with daytime sleepiness. Sleepiness refers to the inability to maintain an adequate level of alertness during the day which may result in more or less being able to control falling asleep at inappropriate times. This literature review updates on sleepiness regarding its characteristics, etiology and consequences on adolescents. Studies revealed that from 25 % to 78 % of adolescents had reported sleepiness. Its manifestations may include heavy lids, yawns, difficulties to concentrate and emotional irritability. In addition, while it is recommended that adolescents under 18 years-old should sleep from eight to ten hours a night, only 63 % of them actually do so. The etiology of sleep deprivation and sleepiness in this population can be explained by various biological and societal factors. First, the sleep-wake cycle of adolescents shows a biological shift from the beginning of pubertal maturation, described as a perfect storm. It refers to a social jetlag by going to sleep and waking up later and accumulating a sleep debt during weekdays which they try to reimburse during weekends. This phenomenon can be explained by physiological changes such as a slower accumulation of sleep pressure. In addition to this perfect storm, environmental and societal factors contribute to the social jetlag and reduce sleep duration in adolescents. Screen exposure before bedtime can delay sleep and wake onset, which is a risk factor for sleeping debt. Substance use such as caffeine, cigarettes or electronic vaporizer, ADHD or freely available medication, alcohol, cannabis use or drug consumption could further disrupt sleep-wake cycle by stimulating, depressing or otherwise disrupting the central nervous system. Early, before 8:30 am, class start times have been associated with chronic sleep deprivation, higher level of sleepiness and delayed melatonin peak secretion. Adolescents working or doing extracurricular occupations for more than 20hours a week are more at risk for reduced sleep duration and sleepiness. Parental supervision about sleep during the weekdays were associated with more appropriate bedtime. Adolescents from low socio-demographic characteristics and from minority ethnic groups have reported displaying a shorter sleep duration. Finally, sleep disorders of a physiological origin such as narcolepsy, sleep apnea or restless legs syndrome, may explain the sleep deprivation and sleepiness. Sleep deprivation and sleepiness in adolescents have consequences on their health. Cognitive functioning, such as problem solving, attention or memory, as well as school performance, can be compromised by sleep deprivation and sleepiness. At the psychological level, adolescents reporting sleepiness are more prone to display mental health problems: associations were found between sleepiness and subjective perception of depression, anxiety, somatic complaints as well as with antisocial behaviors. Finally, 68 % of 16 year-old adolescents reported they drove a car, and the reported sleepiness could lead to road accidents due to reduced attentional functioning, reaction time and decision-making abilities. In the United-States, from 7 % to 16.5 % of deadly accidents were related to driving while drowsy. Highlighting etiology and problems associated with sleep deprivation and sleepiness in adolescents could guide researchers and clinicians towards the development of possible interventions. Public health measures and knowledge transfer programs regarding modifiable psychosocial and societal factors associated with sleep-wake bioregulation could increase awareness in parents as well as in political and societal decision makers. ",[Sleepiness among adolescents: etiology and multiple consequences],"Davidson-Urbain W, Servot S, Godbout R, Montplaisir JY, Touchette E.",Encephale. 2023 Feb;49(1):87-93. doi: 10.1016/j.encep.2022.05.004. Epub 2022 Aug 12.,Davidson-Urbain W,Encephale,2023,2022/08/15,,,10.1016/j.encep.2022.05.004
5,5,5,35660222,"Improving sleep health is an important target for substance use disorder (SUD) research. However, there is little guidance for SUD researchers regarding the use of technologies to objectively assess sleep outcomes in randomized-controlled trials (RCTs). This systematic review aimed to describe the use of technologies to objectively measure sleep outcomes in RCTs conducted in persons with SUDs, in order to inform future sleep intervention studies in SUD populations. This study was registered in the International Prospective Register of Systematic Reviews (PROSPERO) on May 7th, 2020 (CRD42020182004). RCTs were reviewed here if they were peer-reviewed manuscripts that included objective measures of sleep in RCTs that sought to improve sleep in persons with SUDs. The initial search yielded 13,403 potential articles, with 27 meeting a priori criteria to be included in this review. The most common SUD was alcohol use disorder (59%). The most common technology used to assess sleep was polysomnography (41%), followed by actigraphy (37%), ambulatory polysomnography or components of polysomnography (e.g., electroencephalography; 19%), and at-home sleep apnea testing (7%). The most common sleep outcome reported was total sleep time (96%). There are a range of options to assess objective sleep outcomes. Polysomnography or ambulatory devices that directly measure brain activity are critical to advance medications through the regulatory process for the indication of improving sleep duration, continuity, and/or sleep onset latency outcomes. Actigraphy is also useful in preliminary investigations and in detecting the relationship between diurnal and SUD-related behaviors. ",Objective sleep outcomes in randomized-controlled trials in persons with substance use disorders: A systematic review,"Huhn AS, Dunn KE, Ellis JD, Sholler DJ, Tabaschek P, Burns R, Strain EC.",Drug Alcohol Depend. 2022 Aug 1;237:109509. doi: 10.1016/j.drugalcdep.2022.109509. Epub 2022 May 25.,Huhn AS,Drug Alcohol Depend,2022,2022/06/06,,,10.1016/j.drugalcdep.2022.109509
6,6,6,32889833,"Cancer patients are using medical cannabis (MC) to address symptoms; however, little data exist to guide clinicians when counseling patients. We seek to define the patterns of MC use among cancer patients, as well as efficacy and safety of MC. Cancer patients attending oncology office visits at Beaumont Hospital, Michigan from July to December 2018 were anonymously surveyed. The survey included data regarding demographics, diagnosis, treatment, symptom burden, and MC use. Patients who reported MC use since their cancer diagnosis completed a section on patterns of use, efficacy, and safety. The response rate was 188 of 327 (57.5%). MC use was reported by 46 of 188 (24.5%). A median composite baseline symptom score ranging from 8 (best) to 32 (worst) was higher in patients using MC versus nonusers; 17.5 versus 14.4 (P<0.001). Pain was the symptom with the highest frequency of improvement 34/42 (81%), followed by appetite 34/44 (77.3%), and anxiety 32/44 (73%). MC improved the ability to tolerate treatment in 24/44 (54.5%). Cloudy thinking is the symptom that worsened the most 7/42 (16.7%), with decreased energy being experienced by 4/41 (9.8%) of the users. MC was utilized by a significant portion of cancer patients in this sample, across age, diagnosis, stage, and treatment. Patients with a higher severity of baseline symptoms were more likely to use MC and report a favorable efficacy profile of MC. Minimal toxicity was reported in this cohort. Prospective studies are needed to define the efficacy and safety of MC. ",Medical Cannabis in Cancer Patients: A Survey of a Community Hematology Oncology Population,"Macari DM, Gbadamosi B, Jaiyesimi I, Gaikazian S.",Am J Clin Oncol. 2020 Sep;43(9):636-639. doi: 10.1097/COC.0000000000000718.,Macari DM,Am J Clin Oncol,2020,2020/09/05,,,10.1097/COC.0000000000000718
7,7,7,35660223,"Sleep disturbances and disorders are a common and sometimes recalcitrant problem in persons recovering from substance use disorders (SUDs). As such, several randomized-controlled trials (RCTs) have been conducted to address sleep disturbances in a variety of SUD subpopulations and clinical scenarios. The goal of this systematic review was to collate patient-reported sleep outcomes used in past SUD-related RCTs to provide guidance for future sleep research in persons with SUDs. This systematic review was registered in the International Prospective Register of Systematic Reviews (PROSPERO) on May 7th, 2020 (CRD42020182004). Studies were included if they were peer-reviewed manuscripts describing RCTs in an SUD population. The initial search yielded 13,403 candidate articles, and 76 met a priori criteria and were included in this review. Thirty-five (46.1%) assessed sleep as a primary outcome (i.e., sleep improvement was the primary goal of the research) and 41 (53.9%) assessed sleep as a secondary outcome (i.e., sleep improvement was an important outcome, but not the primary outcome). The most commonly used measures included the Pittsburgh Sleep Quality Index, the Insomnia Severity Index, and sleep diaries. However, multiple additional sleep assessments were also used, including visual analogue and Likert scales. The field of addiction medicine would benefit from a streamlined approach in assessing patient-reported sleep in RCTs, including commonly used and validated assessments of sleep quality, inserting daily or repeated measures into RCTs, and including questionnaires that assess clinically relevant insomnia or other sleep disorders. ",Patient-reported sleep outcomes in randomized-controlled trials in persons with substance use disorders: A systematic review,"Huhn AS, Ellis JD, Dunn KE, Sholler DJ, Tabaschek P, Burns R, Strain EC.",Drug Alcohol Depend. 2022 Aug 1;237:109508. doi: 10.1016/j.drugalcdep.2022.109508. Epub 2022 May 25.,Huhn AS,Drug Alcohol Depend,2022,2022/06/06,,,10.1016/j.drugalcdep.2022.109508
8,8,8,39144529,"The legalization of cannabis in Thailand has renewed interest in its traditional medical use. This study aimed to explore the prescribing patterns of traditional practitioners and assess the impact of cannabis oil on patients' quality of life, with a specific focus on comparing outcomes between cancer and non-cancer patients. We conducted a prospective observational cohort study across 30 sites in 21 Thai provinces to analyze the use of ""Ganja Oil,"" a cannabis extract in 10% coconut oil, prescribed for symptoms like pain, anorexia, and insomnia across a diverse patient group, including cancer and migraines. Quality of life was assessed using the Edmonton Symptom Assessment Scale (ESAS) and EQ-5D-5L at baseline, 1, 2, and 3 months. The study included a predefined subgroup analysis to compare the effects on cancer versus non-cancer patients. Data management was facilitated through Research Electronic Data Capture (REDCap), with statistical analysis performed using Stata/MP. Among 21,284 participants, the mean age was 54.10 ± 15.32 years, with 52.49% being male. The baseline EQ-5D-5L index was 0.85 ± 0.24. Significant differences in EQ-5D-5L indices were seen between cancer patients (0.79 ± 0.32) and non-cancer patients (0.85 ± 0.23;  Our study indicates potential benefits of Ganja Oil for improving quality of life among Thai patients, as a complementary treatment. These findings must be viewed in light of the study's design limitations. Further controlled studies are essential to ascertain its efficacy and inform dosing guidelines. ",Medical Cannabis Prescription Practices and Quality of Life in Thai Patients: A Nationwide Prospective Observational Cohort Study,"Stienrut P, Pongpirul K, Phutrakool P, Savigamin C, Sermsaksasithorn P, Chanhom O, Jeamjumrus P, Pongchaichanon P, Nootim P, Soisamrong M, Chuthaputti A, Wanaratna K, Thaneerat T.",Med Cannabis Cannabinoids. 2024 Jul 17;7(1):125-137. doi: 10.1159/000540153. eCollection 2024 Jan-Dec.,Stienrut P,Med Cannabis Cannabinoids,2024,2024/08/15,PMC11324265,,10.1159/000540153
9,9,9,25504799,"Cannabinoids (the active constituents of Cannabis sativa) and their derivatives have got intense attention during recent years because of their extensive pharmacological properties. Cannabinoids first developed as successful agents for alleviating chemotherapy associated nausea and vomiting. Recent investigations revealed that cannabinoids have a wide range of therapeutic effects such as appetite stimulation, inhibition of nausea and emesis, suppression of chemotherapy or radiotherapy-associated bone loss, chemotherapy-induced nephrotoxicity and cardiotoxicity, pain relief, mood amelioration, and last but not the least relief from insomnia. In this exploratory review, we scrutinize the potential of cannabinoids to counteract chemotherapy-induced side effects. Moreover, some novel and yet important pharmacological aspects of cannabinoids such as antitumoral effects will be discussed. ",Therapeutic potential of cannabinoids in counteracting chemotherapy-induced adverse effects: an exploratory review,"Ostadhadi S, Rahmatollahi M, Dehpour AR, Rahimian R.",Phytother Res. 2015 Mar;29(3):332-8. doi: 10.1002/ptr.5265. Epub 2014 Dec 12.,Ostadhadi S,Phytother Res,2015,2014/12/16,,,10.1002/ptr.5265
